
============================================================
  DEVICE: SW02-PoE-48P-HALA-2  [10.0.100.12]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:00


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level informational, 15141 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 15198 messages logged, xml disabled,
                     filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 15145 message lines logged
Mar  6 22:10:50.911: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:10:51.913: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:10:55.478: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:10:56.485: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:11:53.929: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:11:55.701: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:13:38.225: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:13:40.233: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:13:42.928: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:13:43.935: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:14:36.990: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:14:38.768: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  6 22:45:33.851: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  6 22:45:34.852: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  7 03:30:12.194: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  7 03:30:13.195: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar  7 03:30:15.874: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar  7 03:30:16.876: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  7 03:30:25.170: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  7 03:30:26.177: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar  7 03:30:29.292: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar  7 03:30:30.293: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  7 08:51:42.347: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to down
Mar  7 08:51:43.353: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/27, changed state to down
Mar  7 11:07:06.709: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Mar  7 11:07:07.710: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to down
Mar  7 11:18:01.232: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  7 11:18:03.240: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  7 11:43:10.822: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Mar  7 11:43:11.823: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Mar  7 11:44:59.385: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to down
Mar  7 11:45:00.392: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to down
Mar  9 05:33:51.807: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  9 05:33:52.814: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar  9 05:33:55.268: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar  9 05:33:56.269: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  9 05:34:02.765: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  9 05:34:03.772: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar  9 05:34:07.091: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar  9 05:34:08.092: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  9 05:34:28.572: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/27, changed state to up
Mar  9 05:34:29.573: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to up
Mar  9 05:34:44.196: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to down
Mar  9 05:34:46.204: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/27, changed state to up
Mar  9 05:35:12.488: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Mar  9 05:35:14.402: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/18, changed state to up
Mar  9 05:35:27.468: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to down
Mar  9 05:35:29.465: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/18, changed state to up
Mar  9 05:35:56.557: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/23, changed state to up
Mar  9 05:35:57.558: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/23, changed state to up
Mar  9 05:37:06.385: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Mar  9 05:37:07.386: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Mar  9 05:45:52.879: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:45:53.880: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:45:56.623: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  9 05:45:57.624: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  9 05:46:56.284: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:46:58.035: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:47:12.527: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  9 05:47:13.529: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  9 05:47:15.867: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:47:18.809: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  9 05:48:12.058: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:48:13.851: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  9 05:52:54.490: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar  9 05:52:55.491: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar  9 05:52:58.244: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar  9 05:52:59.245: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar  9 05:53:07.388: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar  9 05:53:08.379: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar  9 05:53:10.969: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar  9 05:53:11.975: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar  9 05:57:07.596: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Mar  9 05:57:09.111: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Mar  9 05:57:14.302: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Mar  9 05:57:15.304: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Mar  9 05:57:22.864: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Mar  9 05:57:23.866: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Mar  9 06:11:12.991: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:11:14.716: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:11:19.598: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:11:20.599: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:11:23.546: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:11:24.547: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:11:36.234: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:11:37.236: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:11:43.119: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:11:44.136: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:12:01.512: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:12:02.513: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar  9 06:12:05.664: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:12:06.666: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 06:17:32.145: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  9 06:17:33.152: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  9 06:18:10.708: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar  9 06:18:12.402: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar  9 14:00:18.965: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar  9 14:00:20.973: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar  9 16:53:50.323: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 16:53:52.332: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 21:54:28.897: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 21:54:33.716: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 21:54:38.220: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar  9 21:54:39.221: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar  9 21:54:39.284: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 21:54:40.291: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar  9 21:54:43.316: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar  9 21:54:44.317: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar  9 21:55:17.685: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar  9 21:55:19.682: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar  9 21:58:29.237: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Mar  9 21:58:30.239: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Mar  9 22:00:28.723: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar  9 22:00:29.724: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar 10 01:25:02.762: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 01:25:03.768: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 01:25:06.154: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 01:25:07.155: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 01:25:13.709: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 01:25:14.705: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 01:25:18.066: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 01:25:19.068: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 01:39:27.881: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 01:39:29.883: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 05:41:52.396: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:41:53.398: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:41:55.312: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:41:56.313: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:41:59.186: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:00.188: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:04.220: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:42:05.221: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:42:08.131: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:09.132: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:16.059: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:42:17.071: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 10 05:42:19.975: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:20.977: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 10 05:42:51.319: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 05:42:52.325: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 05:42:54.748: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 05:42:55.749: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 05:43:02.565: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 05:43:03.572: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 05:43:06.760: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 05:43:07.761: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 05:45:24.087: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar 10 05:45:25.089: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar 10 05:45:27.705: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar 10 05:45:28.712: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar 10 05:45:36.618: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar 10 05:45:37.625: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar 10 05:45:40.199: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar 10 05:45:41.201: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar 10 05:56:26.739: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Mar 10 05:56:28.365: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Mar 10 05:56:33.330: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Mar 10 05:56:34.331: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Mar 10 05:56:41.997: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Mar 10 05:56:42.998: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Mar 10 06:17:37.621: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:17:39.310: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:17:44.275: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:17:45.276: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:17:48.375: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:17:49.382: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:18:01.341: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:18:02.343: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:18:07.879: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:18:08.891: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:18:26.330: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:18:27.331: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Mar 10 06:18:30.341: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Mar 10 06:18:31.347: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar 10 15:00:54.619: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar 10 15:00:56.617: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar 10 16:16:31.411: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Mar 10 16:16:33.425: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Mar 10 21:02:24.607: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Mar 10 21:02:25.614: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Mar 10 21:02:56.454: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 10 21:02:57.460: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 10 21:03:12.561: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 21:03:14.590: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 23:54:13.795: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 23:54:14.801: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 23:54:17.386: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 23:54:18.388: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 23:54:26.394: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 10 23:54:27.401: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 10 23:54:30.562: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 10 23:54:31.564: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 10 23:58:36.056: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Mar 10 23:58:37.063: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Mar 10 23:59:19.485: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Mar 10 23:59:20.486: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Mar 11 02:08:51.736: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:08:53.739: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:08:56.659: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:08:57.666: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:09:00.109: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:09:01.116: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:09:06.595: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:09:07.602: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:09:10.931: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:09:11.932: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:09:54.816: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:09:56.824: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:10:00.321: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:10:01.328: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:10:03.944: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:10:04.946: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:10:10.592: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:10:11.599: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Mar 11 02:10:14.976: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Mar 11 02:10:15.987: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Mar 11 05:42:34.719: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:42:35.720: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:42:39.307: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:42:40.313: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:42:43.270: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:42:44.272: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:42:48.660: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:42:49.667: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:42:52.561: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:42:53.578: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:43:01.071: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:43:02.077: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Mar 11 05:43:05.029: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:43:06.036: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Mar 11 05:48:34.463: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar 11 05:48:35.464: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar 11 05:48:38.133: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar 11 05:48:39.140: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar 11 05:48:47.382: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Mar 11 05:48:48.389: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Mar 11 05:48:50.937: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Mar 11 05:48:51.938: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Mar 11 05:57:29.748: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Mar 11 05:57:31.368: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
